timestamp,city,temperature,feels_like,humidity,dew_point,heat_index,wind_chill,uv_index,weather_desc,weather_type,wind_speed,wind_gust,wind_dir_deg,wind_dir_cardinal,precip_prob,precip_amount,visibility,cloud_cover,air_pressure,temp_min,temp_max,source
2025-07-23T04:08:03.232563282Z,Garut,26.3,27.2,54,16.2,27.2,26.3,7,Partly sunny,PARTLY_CLOUDY,5,10,23,NORTH_NORTHEAST,5,0,16,45,1010.87,14.6,26.3,GoogleWeatherAPI
2025-07-23T04:08:05.779495189Z,Gowa,37.5,43.5,61,28.8,43.5,37.5,8,Sunny,CLEAR,6,13,293,WEST_NORTHWEST,0,0,16,4,1007.87,28.0,36.8,GoogleWeatherAPI
2025-07-23T04:08:08.294513888Z,Klaten,29.9,32.5,57,20.4,32.5,29.9,5,Mostly cloudy,MOSTLY_CLOUDY,3,5,90,EAST,9,0,16,74,1009.35,20.5,30.9,GoogleWeatherAPI
2025-07-23T04:08:10.801246081Z,Subang,31.4,33.8,50,19.8,33.8,31.4,6,Partly sunny,PARTLY_CLOUDY,10,15,45,NORTHEAST,5,0,16,58,1008.86,20.7,32.4,GoogleWeatherAPI
2025-07-23T04:08:13.249759381Z,Indramayu,30.9,34.6,59,21.7,34.6,30.9,8,Mostly sunny,MOSTLY_CLEAR,13,21,113,EAST_SOUTHEAST,0,0,16,20,1008.86,23.6,31.1,GoogleWeatherAPI
2025-07-23T04:08:15.726925549Z,Tasikmalaya,27.7,29.7,64,20.2,29.7,27.7,7,Partly sunny,PARTLY_CLOUDY,6,11,90,EAST,5,0,16,51,1010.18,17.2,27.9,GoogleWeatherAPI
2025-07-23T04:19:54.016506393Z,Garut,26.5,27.3,53,16.1,27.3,26.5,7,Partly sunny,PARTLY_CLOUDY,5,11,23,NORTH_NORTHEAST,5,0,16,46,1010.67,14.6,26.3,GoogleWeatherAPI
2025-07-23T04:19:56.471822937Z,Gowa,37.5,43.4,61,28.9,43.4,37.5,8,Sunny,CLEAR,6,13,293,WEST_NORTHWEST,0,0,16,6,1007.67,28.0,36.8,GoogleWeatherAPI
2025-07-23T04:19:59.150115803Z,Klaten,30.2,32.7,56,20.3,32.7,30.2,5,Mostly cloudy,MOSTLY_CLOUDY,3,5,90,EAST,8,0,16,71,1009.08,20.5,30.9,GoogleWeatherAPI
2025-07-23T04:20:01.577012592Z,Subang,31.5,34.1,50,19.8,34.1,31.5,6,Partly sunny,PARTLY_CLOUDY,10,16,45,NORTHEAST,5,0,16,55,1008.67,20.7,32.4,GoogleWeatherAPI
2025-07-23T04:20:03.984863674Z,Indramayu,30.9,34.6,58,21.7,34.6,30.9,8,Mostly sunny,MOSTLY_CLEAR,13,21,113,EAST_SOUTHEAST,0,0,16,21,1008.67,23.6,31.1,GoogleWeatherAPI
2025-07-23T04:20:07.105938609Z,Tasikmalaya,27.9,29.9,63,20.2,29.9,27.9,7,Partly sunny,PARTLY_CLOUDY,6,11,90,EAST,5,0,16,53,1009.98,17.2,27.9,GoogleWeatherAPI
