timestamp,city,temperature,feels_like,humidity,dew_point,heat_index,wind_chill,uv_index,weather_desc,weather_type,wind_speed,wind_gust,wind_dir_deg,wind_dir_cardinal,precip_prob,precip_amount,visibility,cloud_cover,air_pressure,temp_min,temp_max,source
2025-08-07T04:37:38.937792159Z,Garut,27.0,28.1,57,17.5,28.1,27.0,8,Partly sunny,PARTLY_CLOUDY,6,11,90,EAST,0,0.0,16,33,1012.23,16.6,26.8,GoogleWeatherAPI
2025-08-07T04:37:41.254374357Z,Gowa,37.7,42.5,56,27.7,42.5,37.7,8,Partly sunny,PARTLY_CLOUDY,8,14,293,WEST_NORTHWEST,0,0.0,16,37,1009.37,27.5,38.6,GoogleWeatherAPI
2025-08-07T04:37:43.608624225Z,Klaten,30.4,33.3,57,21.0,33.3,30.4,8,Mostly sunny,MOSTLY_CLEAR,3,6,90,EAST,0,0.0,16,25,1010.44,21.1,31.4,GoogleWeatherAPI
2025-08-07T04:37:45.932357470Z,Subang,31.5,35.8,59,22.1,35.8,31.5,7,Partly sunny,PARTLY_CLOUDY,8,14,68,EAST_NORTHEAST,3,0.0,16,36,1010.21,22.6,31.9,GoogleWeatherAPI
2025-08-07T04:37:48.293532981Z,Indramayu,30.9,36.8,68,24.1,36.8,30.9,8,Partly sunny,PARTLY_CLOUDY,13,22,90,EAST,15,0.0432,16,35,1010.07,25.7,31.2,GoogleWeatherAPI
2025-08-07T04:37:50.659882023Z,Tasikmalaya,28.1,30.3,62,20.3,30.3,28.1,7,Partly sunny,PARTLY_CLOUDY,6,11,90,EAST,5,0.0,16,45,1011.62,18.4,28.7,GoogleWeatherAPI
2025-08-07T04:39:02.090497938Z,Garut,27.0,28.1,57,17.5,28.1,27.0,8,Partly sunny,PARTLY_CLOUDY,6,11,90,EAST,0,0.0,16,33,1012.21,16.6,26.8,GoogleWeatherAPI
2025-08-07T04:39:04.600396675Z,Gowa,37.7,42.5,56,27.7,42.5,37.7,8,Partly sunny,PARTLY_CLOUDY,8,14,293,WEST_NORTHWEST,0,0.0,16,37,1009.35,27.5,38.6,GoogleWeatherAPI
2025-08-07T04:39:07.076203991Z,Klaten,30.4,33.4,57,21.0,33.4,30.4,8,Mostly sunny,MOSTLY_CLEAR,3,6,90,EAST,0,0.0,16,25,1010.42,21.1,31.4,GoogleWeatherAPI
2025-08-07T04:39:09.442392154Z,Subang,31.5,35.9,59,22.1,35.9,31.5,7,Partly sunny,PARTLY_CLOUDY,8,14,68,EAST_NORTHEAST,3,0.0,16,37,1010.19,22.6,31.9,GoogleWeatherAPI
2025-08-07T04:39:12.561390188Z,Indramayu,30.9,36.8,68,24.1,36.8,30.9,8,Partly sunny,PARTLY_CLOUDY,13,22,90,EAST,15,0.0432,16,35,1010.07,25.7,31.2,GoogleWeatherAPI
2025-08-07T04:39:14.887551810Z,Tasikmalaya,28.2,30.3,62,20.3,30.3,28.2,7,Partly sunny,PARTLY_CLOUDY,6,11,90,EAST,5,0.0,16,45,1011.6,18.4,28.7,GoogleWeatherAPI
