timestamp,city,temperature,humidity,weather_desc,wind_speed,clouds,source
2025-08-07T04:22:50.972812+00:00,Garut,28.32,67,scattered clouds,1.94,49,OpenWeatherMap
2025-08-07T04:22:52.065875+00:00,Gowa,29.46,50,few clouds,2.69,21,OpenWeatherMap
2025-08-07T04:22:53.243208+00:00,Klaten,30.08,74,few clouds,2.62,12,OpenWeatherMap
2025-08-07T04:22:54.344127+00:00,Subang,32.36,70,few clouds,2.4,14,OpenWeatherMap
2025-08-07T04:22:55.433460+00:00,Indramayu,31.77,69,few clouds,4.26,17,OpenWeatherMap
2025-08-07T04:22:56.537767+00:00,Tasikmalaya,30.24,64,scattered clouds,1.98,41,OpenWeatherMap
